valor, area_total, garagens, dependencia_empregada, elevadores, suites, quartos
85000,       160, 1, 1, 1, 1, 3
80000,       146, 1, 0, 1, 1, 3
86000,       160, 1, 1, 1, 1, 3
81000,       146, 1, 0, 1, 1, 3
82000,       146, 1, 0, 1, 1, 3
85000,       161, 1, 0, 1, 1, 3
136000,      307, 2, 1, 1, 1, 3
125000,      285, 2, 0, 1, 1, 3
97000,       136, 1, 0, 1, 1, 3
88000,       124, 1, 0, 1, 1, 3
92000,       126, 1, 0, 1, 1, 3
82000,       119, 1, 0, 1, 0, 3
86000,       119, 1, 0, 1, 0, 3
63308.88, 110.22, 1, 0, 1, 1, 2
60300,     110.6, 1, 0, 1, 1, 2
59750,    106.02, 1, 0, 1, 0, 2
60849.70, 106.02, 1, 0, 1, 0, 2
64520,       106, 0, 0, 1, 1, 2
66340,    110.22, 1, 0, 1, 1, 2
62500,       106, 1, 0, 1, 0, 2
66470,    110.56, 1, 0, 1, 1, 2
62590,    103.23, 1, 0, 1, 0, 1
99400,       173, 1, 1, 1, 1, 3
88100,       155, 1, 0, 1, 1, 3
111000,      173, 1, 1, 1, 1, 3
99100,       155, 1, 0, 1, 1, 3
45000,        75, 1, 0, 1, 0, 1
65000,       108, 1, 0, 1, 1, 2
74000,       145, 1, 1, 0, 1, 2
78772,       133, 1, 0, 1, 1, 3
40000,       112, 1, 0, 1, 0, 1
32000,     96.02, 0, 0, 0, 0, 3
55000,       138, 1, 0, 0, 1, 2
74000,    114.85, 1, 0, 0, 1, 2
27500,     60.04, 0, 0, 0, 0, 2
80000,       185, 0, 0, 2, 1, 3
25300,     82.69, 1, 0, 0, 0, 2
58320,        94, 1, 0, 1, 0, 2
57120,        89, 1, 0, 1, 0, 2
75280,       113, 1, 0, 1, 1, 3
106040,      237, 1, 0, 1, 1, 3
81280,       154, 1, 0, 1, 0, 2
78680,       154, 1, 0, 0, 0, 2
91000,       213, 1, 0, 1, 0, 2
75750,       113, 1, 0, 1, 1, 3
57800,        89, 1, 0, 1, 0, 2
93770,       146, 1, 1, 1, 1, 3
102300,      160, 1, 1, 1, 1, 3
