; Valor_Total ;Area_Total;N_Quartos;N_Suites;N_Garagens;Dist_Beira_Mar;Padrao;Coord.E;Coord.N
AP_01;1.060.000,00;350,00;3;1;2;720;médio;741.617,34;6.945.437,19
AP_02;510.000,00;136,56;3;1;1;665;médio;741.470,00;6.945.464,00
AP_03;780.000,00;164,77;3;1;2;415;médio;741.562,00;6.945.757,00
AP_04;550.000,00;174,58;3;1;1;320;médio;741.049,00;6.945.701,00
AP_05;850.000,00;123,01;3;1;3;895;alto;741.859,00;6.945.340,00
AP_06;300.000,00;89,83;2;0;1;645;baixo;741.180,00;6.945.388,00
AP_07;750.000,00;174,00;2;1;2;860;alto;741.989,00;6.945.407,00
AP_08;650.000,00;123,00;3;1;1;745;alto;741.053,00;6.945.154,00
AP_09;620.000,00;121,00;3;1;1;745;alto;741.009,00;6.945.298,00
AP_10;740.000,00;109,00;3;1;1;300;médio;741.019,00;6.945.704,00
AP_11;770.000,00;170,00;3;1;2;590;médio;741.978,00;6.945.726,00
AP_12;680.000,00;141,00;3;1;1;290;médio;741.019,00;6.945.704,00
AP_13;850.000,00;174,00;3;1;1;465;médio;741.713,00;6.945.758,00
AP_14;420.000,00;105,00;3;1;0;60;baixo;740.682,00;6.945.841,00
AP_15;547.000,00;128,00;3;1;1;745;alto;741.015,00;6.945.261,00
AP_16;1.600.000,00;163,00;4;2;2;90;alto;741.434,00;6.946.051,00
AP_17;1.320.000,00;230,00;3;1;2;215;alto;742.148,00;6.946.192,00
AP_18;615.000,00;108,00;3;1;1;745;alto;741.009,00;6.945.298,00
AP_19;705.000,00;174,00;2;1;2;900;alto;741.989,00;6.945.407,00
AP_20;418.000,00;85,00;1;0;1;620;alto;742.383,00;6.945.831,00
AP_21;270.000,00;71,00;2;0;0;1380;baixo;741.839,00;6.944.834,00
AP_22;418.000,00;100,00;1;1;1;620;alto;742.383,00;6.945.831,00
AP_23;650.000,00;90,00;2;1;1;215;alto;742.018,00;6.946.151,00
AP_24;700.000,00;161,00;2;1;2;500;alto;741.824,00;6.945.747,00
AP_25;680.000,00;174,00;2;1;2;860;alto;741.989,00;6.945.407,00
AP_26;420.000,00;76,00;2;1;1;700;baixo;742.269,00;6.945.686,00
AP_27;195.000,00;48,00;1;0;0;730;baixo;741.441,00;6.945.377,00
AP_28;290.000,00;66,00;1;0;1;745;baixo;741.082,00;6.945.272,00
AP_29;272.000,00;50,00;1;0;1;1430;baixo;742.181,00;6.944.916,00
AP_30;430.000,00;61,00;2;0;1;170;baixo;742.509,00;6.946.474,00
AP_31;895.000,00;109,00;3;1;1;530;médio;742.183,00;6.945.847,00
AP_32;450.000,00;89,00;2;0;1;745;médio;741.082,00;6.945.272,00
AP_33;1.950.000,00;393,00;3;1;3;550;alto;742.199,60;6.946.003,98
AP_34;2.150.000,00;578,00;3;2;3;260;alto;741.031,00;6.945.840,84
AP_35;940.000,00;182,00;3;1;2;200;médio;741.072,00;6.945.940,00
AP_36;1.400.000,00;262,00;4;1;1;60;alto;741.490,00;6.946.180,00
AP_37;1.090.000,00;205,00;3;0;3;465;médio;742.361,59;6.946.053,21
AP_38;1.272.000,00;196,00;3;3;2;610;alto;742.258,00;6.945.902,00
AP_39;2.800.000,00;463,00;3;3;3;590;alto;741.960,00;6.945.910,00
AP_40;1.796.000,00;273,00;3;3;4;140;médio;742.043,00;6.946.358,00
AP_41;1.400.000,00;330,00;4;2;2;655;alto;742.289,00;6.945.866,00
AP_42;3.000.000,00;533,00;4;3;4;427;alto;742.036,00;6.946.034,00
AP_43;1.200.000,00;221,00;3;3;2;607;alto;742.208,00;6.945.884,00
AP_44;800.000,00;220,00;3;1;1;1000;médio;742.226,00;6.945.090,00
AP_45;950.000,00;127,00;2;1;1;60;médio;742.214,00;6.946.475,00
AP_46;2.061.000,00;362,00;3;3;4;310;alto;742.018,71;6.946.056,44
AP_47;1.326.000,00;315,00;3;3;3;600;alto;742.436,93;6.945.952,47
AP_48;850.000,00;151,00;3;1;2;660;médio;742.419,95;6.945.868,34
AP_49;1.650.000,00;246,00;3;3;3;307;alto;742.187,55;6.946.149,14
AP_50;650.000,00;159,72;3;1;1;120;médio;740.940,00;6.945.889,00
aval_1;;205,00;3;1;2;250;baixo;741.505,82;6.945.904,04
aval_2;;205,00;3;1;2;250;médio;741.505,82;6.945.904,04
aval_3;;205,00;3;1;2;250;alto;741.505,82;6.945.904,04
