valor_unitario, area, testada, profundidade, topografia, pedologia, frente_mar, dist_b_mar
 46.08,    510, 17, 30, 0, 1, 0, 432
 44.44,    450, 15, 30, 0, 1, 0, 432
 50.91, 687.50, 40, 17, 0, 1, 0, 376
 48.74,    595, 17, 35, 0, 1, 0, 360
 63.22, 822.50, 32, 25, 0, 1, 0, 360
 35.83,    600, 10, 60, 0, 1, 0, 420
 48.89,    450, 15, 30, 0, 1, 0, 420
 51.11,    450, 15, 30, 0, 1, 0, 360
 50.00,    550, 34, 16, 0, 1, 0, 360
 49.02,    510, 17, 30, 1, 0, 0, 288
 66.67,    450, 15, 30, 0, 1, 0, 288
 62.75,    510, 17, 30, 0, 1, 0, 348
 64.44,    450, 15, 30, 0, 1, 0, 288
 72.22,    900, 45, 20, 0, 1, 0, 288
 58.33,    600, 20, 30, 0, 1, 0, 348
 60.95,    525, 25, 21, 0, 1, 0, 288
 55.56,    450, 15, 30, 1, 0, 0, 216
 66.67,    450, 15, 30, 0, 1, 0, 276
 82.22,    450, 15, 30, 1, 1, 0, 216
 74.44,    450, 15, 30, 1, 1, 0, 276
 78.43,    510, 17, 30, 1, 1, 0, 216
 67.78,    450, 15, 30, 0, 1, 0, 216
 60.00,    450, 15, 30, 1, 0, 0, 204
 94.12,    510, 17, 30, 1, 1, 0, 144
 77.78,    450, 15, 30, 0, 1, 0, 204
 88.89,    450, 15, 30, 0, 1, 0, 144
 92.16,    510, 17, 30, 0, 1, 0, 144
 86.67,    450, 15, 30, 0, 1, 0, 204
 68.63,    510, 17, 30, 1, 0, 0, 132
117.65,    510, 17, 30, 1, 1, 0, 72
107.84,    510, 17, 30, 1, 1, 0, 132
111.11,    450, 15, 30, 1, 1, 0, 72
111.76,    510, 17, 30, 1, 1, 0, 72
102.22,    450, 15, 30, 1, 1, 0, 132
116.67,    600, 20, 30, 0, 1, 0, 72
 88.89,    450, 15, 30, 1, 0, 0, 60
176.47,    510, 17, 30, 1, 1, 1, 0
124.90,    510, 17, 30, 1, 1, 0, 60
176.47,    510, 17, 30, 1, 1, 1, 0
120.98,    510, 17, 30, 1, 1, 0, 60
177.78,    450, 15, 30, 1, 1, 1, 0
176.47,    510, 17, 30, 1, 1, 1, 0
177.78,    450, 15, 30, 1, 1, 1, 0
176.47,    510, 17, 30, 1, 1, 1, 0
122.89,    450, 15, 30, 1, 1, 0, 60
177.78,    450, 15, 30, 1, 1, 1, 0
119.00,    600, 20, 30, 0, 1, 0, 60
176.47,    510, 17, 30, 1, 1, 1, 0
